filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
1.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
10.json,2,1,2,42,0,0,2,217,143,0,0,1,0,4,0,1,2,175,58,1,1,2,0,11,6,malicious
100.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,83,2,0,0,0,7,3,malicious
101.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,7,3,malicious
102.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,1,0,0,0,7,3,malicious
103.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,7,3,malicious
104.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,benign
105.json,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,619,1,0,2,0,19,10,malicious
106.json,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,629,2,0,1,0,13,9,malicious
107.json,3,1,5,190,0,0,2,617,377,17,0,4,0,5,0,0,0,0,0,0,0,0,0,25,12,malicious
108.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,1,0,0,0,7,3,malicious
109.json,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,59,1,0,0,0,6,3,benign
11.json,3,1,3,185,0,0,2,611,374,17,0,1,0,5,0,1,1,193,38,2,1,1,0,19,13,malicious
110.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
111.json,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2,130,39,23,26,2,2,10,6,suspicious
112.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,121,39,19,25,2,2,5,5,benign
113.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,120,42,22,33,2,3,6,6,suspicious
114.json,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,75,20,13,19,2,2,12,10,malicious
115.json,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,2,81,33,17,19,2,2,13,10,malicious
116.json,0,0,1,2,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,malicious
117.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,131,36,26,26,2,2,8,7,suspicious
118.json,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,112,45,22,36,3,3,17,12,malicious
119.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,118,32,30,18,2,2,9,5,suspicious
12.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
120.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,130,36,30,26,3,3,7,5,suspicious
121.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,130,34,52,45,2,2,7,5,malicious
122.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,129,33,29,22,2,2,6,3,suspicious
123.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,131,42,34,11,3,2,2,1,benign
124.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,148,41,17,26,3,2,2,1,benign
125.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,10,202,49,55,65,10,2,3,2,benign
126.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,82,25,61,4,4,1,4,3,benign
127.json,0,0,1,2,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,malicious
128.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,54,25,9,1,3,0,3,2,benign
129.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,65,32,46,1,4,1,3,3,benign
13.json,0,0,4,215,1,1,1,619,378,18,0,5,0,3,1,0,0,0,0,0,0,0,0,15,9,benign
130.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,41,25,25,0,3,0,3,2,benign
131.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,82,32,44,3,4,1,7,5,malicious
132.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,73,17,21,7,3,1,3,2,benign
133.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,53,18,13,0,3,1,2,2,benign
134.json,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,4,91,38,46,15,4,0,2,1,benign
135.json,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,5,93,42,43,13,5,1,2,2,benign
136.json,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,6,103,49,10,10,6,1,2,1,benign
137.json,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,6,61,50,8,20,6,1,2,1,benign
138.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
139.json,1,0,2,40,0,0,0,199,155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,9,malicious
14.json,0,0,8,234,0,0,2,1417,825,37,1,6,0,16,0,0,0,0,0,0,0,0,0,16,9,benign
140.json,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,5,94,43,1,23,5,1,2,1,benign
141.json,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,5,121,25,1,11,5,1,3,3,benign
142.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,15,125,46,2,23,15,0,3,2,benign
143.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,23,176,116,4,7,23,3,3,2,benign
144.json,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,6,54,37,0,1,6,2,2,1,benign
145.json,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,7,98,147,5,41,7,7,2,1,benign
146.json,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,5,95,98,4,81,5,9,2,1,benign
147.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,51,44,1,24,1,0,1,0,benign
